Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, 6.41, 6.41, 0
1, 18.99, 18.99, 1
2, 1.78, 18.99, 1
3, 5.43, 18.99, 1
4, 71.08, 71.08, 4
5, 3.54, 71.08, 4
6, 89.34, 89.34, 6
7, 10.25, 89.34, 6
8, 28.98, 89.34, 6
9, 75.01, 89.34, 6
10, 0.93, 89.34, 6
11, 26.16, 89.34, 6
12, 7.54, 89.34, 6
13, 41.83, 89.34, 6
14, 17.93, 89.34, 6
15, 1.18, 89.34, 6
16, 0.59, 89.34, 6
17, 33.95, 89.34, 6
18, 24.27, 89.34, 6
19, 1.8, 89.34, 6
20, 18.15, 89.34, 6
21, 25.08, 89.34, 6
22, 47.79, 89.34, 6
23, 46.53, 89.34, 6
24, 48.54, 89.34, 6
25, 47.5, 89.34, 6
26, 5.49, 89.34, 6
27, 66.86, 89.34, 6
28, 27.94, 89.34, 6
29, 11.19, 89.34, 6
30, 26.66, 89.34, 6
31, 34.19, 89.34, 6
32, 1.65, 89.34, 6
33, 20.06, 89.34, 6
34, 12.08, 89.34, 6
35, 0.83, 89.34, 6
36, -3.26, 89.34, 6
37, 6.93, 89.34, 6
38, 0.87, 89.34, 6
39, 8.76, 89.34, 6
40, 14.48, 89.34, 6
41, 69.54, 89.34, 6
42, 60.12, 89.34, 6
43, 9.59, 89.34, 6
44, 24.74, 89.34, 6
45, 10.68, 89.34, 6
46, -0.27, 89.34, 6
47, 27.9, 89.34, 6
48, 0.49, 89.34, 6
49, 9.56, 89.34, 6
50, 40.89, 89.34, 6
51, 11.38, 89.34, 6
52, 12.25, 89.34, 6
53, 30.19, 89.34, 6
54, 12.81, 89.34, 6
55, 80.38, 89.34, 6
56, 19.37, 89.34, 6
57, -2.02, 89.34, 6
58, 0, 89.34, 6
59, 22.41, 89.34, 6
60, 2.26, 89.34, 6
61, 18.83, 89.34, 6
62, 0.38, 89.34, 6
63, 15.58, 89.34, 6
64, 28.5, 89.34, 6
65, -2.14, 89.34, 6
66, 51.24, 89.34, 6
67, 29.41, 89.34, 6
68, 5.28, 89.34, 6
69, 22, 89.34, 6
70, 40.39, 89.34, 6
71, 57.86, 89.34, 6
72, 61.1, 89.34, 6
73, 12.19, 89.34, 6
74, 3.06, 89.34, 6
75, 1.06, 89.34, 6
76, 47.32, 89.34, 6
77, 10.27, 89.34, 6
78, 3.82, 89.34, 6
79, 5.39, 89.34, 6
80, 0.09, 89.34, 6
81, 28.38, 89.34, 6
82, 1.7, 89.34, 6
83, 1.44, 89.34, 6
84, 27.12, 89.34, 6
85, 67.84, 89.34, 6
86, 48.01, 89.34, 6
87, 42.4, 89.34, 6
88, 19.49, 89.34, 6
89, 15.57, 89.34, 6
90, 27.01, 89.34, 6
91, 59.84, 89.34, 6
92, 66.05, 89.34, 6
93, 11.29, 89.34, 6
94, 12.22, 89.34, 6
95, 17.94, 89.34, 6
96, 38.03, 89.34, 6
97, 35.05, 89.34, 6
98, 29.52, 89.34, 6
99, 4.36, 89.34, 6
100, 4.84, 89.34, 6
101, 11.82, 89.34, 6
102, 16.93, 89.34, 6
103, 33.93, 89.34, 6
104, -3.04, 89.34, 6
105, 3.83, 89.34, 6
106, 49.95, 89.34, 6
107, 52.27, 89.34, 6
108, 3.74, 89.34, 6
109, 33.5, 89.34, 6
110, 38.4, 89.34, 6
111, 12.57, 89.34, 6
112, 19.99, 89.34, 6
113, 29.8, 89.34, 6
114, 1.27, 89.34, 6
115, -0.67, 89.34, 6
116, 42.67, 89.34, 6
117, 48.15, 89.34, 6
118, 1.78, 89.34, 6
119, 3.69, 89.34, 6
120, 15.69, 89.34, 6
121, 77.05, 89.34, 6
122, 2.63, 89.34, 6
123, 15.25, 89.34, 6
124, 85.32, 89.34, 6
125, 13.75, 89.34, 6
126, -1.95, 89.34, 6
127, -4.18, 89.34, 6
128, 61.82, 89.34, 6
129, 21.18, 89.34, 6
130, 53.56, 89.34, 6
131, 43.64, 89.34, 6
132, 22.61, 89.34, 6
133, 72.24, 89.34, 6
134, 24.64, 89.34, 6
135, 6.23, 89.34, 6
136, -0.21, 89.34, 6
137, 6.12, 89.34, 6
138, 26, 89.34, 6
139, 11.01, 89.34, 6
140, 38.56, 89.34, 6
141, 27.45, 89.34, 6
142, 38.29, 89.34, 6
143, 15.79, 89.34, 6
144, 0.63, 89.34, 6
145, 18.73, 89.34, 6
146, 19.26, 89.34, 6
147, 47.96, 89.34, 6
148, 71.95, 89.34, 6
149, 19.41, 89.34, 6
150, 27.78, 89.34, 6
151, 50.23, 89.34, 6
152, 8.14, 89.34, 6
153, 34.46, 89.34, 6
154, 10.72, 89.34, 6
155, 6.4, 89.34, 6
156, 45.56, 89.34, 6
157, 1.43, 89.34, 6
158, 10.64, 89.34, 6
159, 0.42, 89.34, 6
160, 33.23, 89.34, 6
161, 21.87, 89.34, 6
162, 10.34, 89.34, 6
163, 15.97, 89.34, 6
164, 13.87, 89.34, 6
165, 42.26, 89.34, 6
166, 4.33, 89.34, 6
167, 12.35, 89.34, 6
168, 6.56, 89.34, 6
169, 42.29, 89.34, 6
170, 10.79, 89.34, 6
171, 14.87, 89.34, 6
172, 37.04, 89.34, 6
173, 5.99, 89.34, 6
174, 52.66, 89.34, 6
175, 56.93, 89.34, 6
176, 17.93, 89.34, 6
177, -0.44, 89.34, 6
178, -4.19, 89.34, 6
179, 2.88, 89.34, 6
180, 59.07, 89.34, 6
181, 41.51, 89.34, 6
182, 46.53, 89.34, 6
183, 0.75, 89.34, 6
184, 1.22, 89.34, 6
185, 1.19, 89.34, 6
186, 8.33, 89.34, 6
187, 67.11, 89.34, 6
188, 6.83, 89.34, 6
189, 10.41, 89.34, 6
190, 7.89, 89.34, 6
191, 63.98, 89.34, 6
192, 46.4, 89.34, 6
193, 1.98, 89.34, 6
194, 5.74, 89.34, 6
195, 1.84, 89.34, 6
196, 63.94, 89.34, 6
197, 23.63, 89.34, 6
198, 2.34, 89.34, 6
199, 3.44, 89.34, 6
200, 18.67, 89.34, 6
201, 69.33, 89.34, 6
202, 49.81, 89.34, 6
203, 43.62, 89.34, 6
204, 7.51, 89.34, 6
205, 68.39, 89.34, 6
206, 21.54, 89.34, 6
207, 38.3, 89.34, 6
208, 53.91, 89.34, 6
209, 23.99, 89.34, 6
210, 14.11, 89.34, 6
211, 5.03, 89.34, 6
212, 74.35, 89.34, 6
213, -1.47, 89.34, 6
214, 7.54, 89.34, 6
215, 24.3, 89.34, 6
216, 0, 89.34, 6
217, 6.13, 89.34, 6
218, 1.14, 89.34, 6
219, 9.48, 89.34, 6
220, 6.44, 89.34, 6
221, 10.3, 89.34, 6
222, 8.65, 89.34, 6
223, 16.88, 89.34, 6
224, 15.55, 89.34, 6
225, 36.03, 89.34, 6
226, 23.86, 89.34, 6
227, 5.55, 89.34, 6
228, 71.89, 89.34, 6
229, 55.84, 89.34, 6
230, 19.43, 89.34, 6
231, 8.33, 89.34, 6
232, 20.77, 89.34, 6
233, -3.12, 89.34, 6
234, 28.37, 89.34, 6
235, 37.8, 89.34, 6
236, 35.82, 89.34, 6
237, 14.97, 89.34, 6
238, 19.33, 89.34, 6
239, 33.25, 89.34, 6
240, 25.99, 89.34, 6
241, 1.04, 89.34, 6
242, 4.14, 89.34, 6
243, 31.66, 89.34, 6
244, 11.32, 89.34, 6
245, 5.92, 89.34, 6
246, 0.85, 89.34, 6
247, 6.62, 89.34, 6
248, 11.42, 89.34, 6
249, 61.17, 89.34, 6
250, 21.69, 89.34, 6
251, 58.45, 89.34, 6
252, 0.02, 89.34, 6
253, 8.12, 89.34, 6
254, 25.41, 89.34, 6
255, 5.37, 89.34, 6
256, 51.59, 89.34, 6
257, -2.42, 89.34, 6
258, 8.59, 89.34, 6
259, 30.65, 89.34, 6
260, 31.63, 89.34, 6
261, 14.32, 89.34, 6
262, 1.99, 89.34, 6
263, 53.88, 89.34, 6
264, 3.52, 89.34, 6
265, 41.5, 89.34, 6
266, 38.68, 89.34, 6
267, 0.1, 89.34, 6
268, 10.49, 89.34, 6
269, 23.43, 89.34, 6
270, 4.72, 89.34, 6
271, 75.54, 89.34, 6
272, 9.56, 89.34, 6
273, 21.2, 89.34, 6
274, 6.31, 89.34, 6
275, 74.39, 89.34, 6
276, 10.75, 89.34, 6
277, 7.88, 89.34, 6
278, 5.6, 89.34, 6
279, 61.39, 89.34, 6
280, 0.8, 89.34, 6
281, 16.64, 89.34, 6
282, 25.36, 89.34, 6
283, 0.7, 89.34, 6
284, 2.76, 89.34, 6
285, 0, 89.34, 6
286, 5.1, 89.34, 6
287, 6.65, 89.34, 6
288, 23.49, 89.34, 6
289, 8.95, 89.34, 6
290, 8.17, 89.34, 6
291, 0.25, 89.34, 6
292, 35.98, 89.34, 6
