Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, -0.21, -0.21, 0
1, 6.28, 6.28, 1
2, 60.73, 60.73, 2
3, 78.83, 78.83, 3
4, 1.55, 78.83, 3
5, 13.9, 78.83, 3
6, 0.5, 78.83, 3
7, 50.31, 78.83, 3
8, 16.08, 78.83, 3
9, 6.89, 78.83, 3
10, -0.02, 78.83, 3
11, 34.37, 78.83, 3
12, 11.57, 78.83, 3
13, 28.88, 78.83, 3
14, 12.89, 78.83, 3
15, 7.92, 78.83, 3
16, 59.76, 78.83, 3
17, 1.72, 78.83, 3
18, 70.06, 78.83, 3
19, 4.64, 78.83, 3
20, 11.43, 78.83, 3
21, 38.9, 78.83, 3
22, 50.11, 78.83, 3
23, 6.9, 78.83, 3
24, 29.21, 78.83, 3
25, 5.01, 78.83, 3
26, 1.05, 78.83, 3
27, 0, 78.83, 3
28, 48.44, 78.83, 3
29, 37.28, 78.83, 3
30, 3.28, 78.83, 3
31, 29.09, 78.83, 3
32, 1.16, 78.83, 3
33, 10.87, 78.83, 3
34, 41.23, 78.83, 3
35, 61.93, 78.83, 3
36, 13.73, 78.83, 3
37, 13.06, 78.83, 3
38, 11.17, 78.83, 3
39, 8.94, 78.83, 3
40, 0.43, 78.83, 3
41, 12.36, 78.83, 3
42, 0.88, 78.83, 3
43, 13.24, 78.83, 3
44, -1.02, 78.83, 3
45, 5.06, 78.83, 3
46, -1.13, 78.83, 3
47, 31.06, 78.83, 3
48, 0, 78.83, 3
49, 17.84, 78.83, 3
50, 31.81, 78.83, 3
51, 8.03, 78.83, 3
52, 27.32, 78.83, 3
53, 35.74, 78.83, 3
54, 59.19, 78.83, 3
55, 58.58, 78.83, 3
56, 6.03, 78.83, 3
57, 38.6, 78.83, 3
58, 8.69, 78.83, 3
59, 13.78, 78.83, 3
60, 32.28, 78.83, 3
61, 11.44, 78.83, 3
62, 13.54, 78.83, 3
63, 42.98, 78.83, 3
64, 18.64, 78.83, 3
65, 1.75, 78.83, 3
66, 28.2, 78.83, 3
67, 3.18, 78.83, 3
68, 42.73, 78.83, 3
69, 21.27, 78.83, 3
70, -1.76, 78.83, 3
71, 0.24, 78.83, 3
72, 32.1, 78.83, 3
73, 46.39, 78.83, 3
74, 3.6, 78.83, 3
75, 9.85, 78.83, 3
76, 0.73, 78.83, 3
77, 1.44, 78.83, 3
78, 9.53, 78.83, 3
79, 74.24, 78.83, 3
80, 27.34, 78.83, 3
81, 30.29, 78.83, 3
82, 35.47, 78.83, 3
83, 0.76, 78.83, 3
84, 23.48, 78.83, 3
85, 12.51, 78.83, 3
86, 29.91, 78.83, 3
87, 0.65, 78.83, 3
88, 3.91, 78.83, 3
89, 42.97, 78.83, 3
90, 6.33, 78.83, 3
91, 37.53, 78.83, 3
92, 14.32, 78.83, 3
93, 0.86, 78.83, 3
94, 14.05, 78.83, 3
95, 30.81, 78.83, 3
96, 50.84, 78.83, 3
97, 35.33, 78.83, 3
98, 57.31, 78.83, 3
99, 56.94, 78.83, 3
100, 20.57, 78.83, 3
101, -1.92, 78.83, 3
102, 15.7, 78.83, 3
103, 46.09, 78.83, 3
104, -1.47, 78.83, 3
105, 20.61, 78.83, 3
106, 13.01, 78.83, 3
107, 65.21, 78.83, 3
108, 11.4, 78.83, 3
109, 1.38, 78.83, 3
110, 39.27, 78.83, 3
111, 18.58, 78.83, 3
112, 38.17, 78.83, 3
113, -2.49, 78.83, 3
114, 41.61, 78.83, 3
115, 11.38, 78.83, 3
116, 34.58, 78.83, 3
117, 5.36, 78.83, 3
118, 51.87, 78.83, 3
119, 30.97, 78.83, 3
120, 36.89, 78.83, 3
121, 2.12, 78.83, 3
122, 17.91, 78.83, 3
123, 41.17, 78.83, 3
124, 60.55, 78.83, 3
125, 51.97, 78.83, 3
126, 46.51, 78.83, 3
127, 18.66, 78.83, 3
128, 3.77, 78.83, 3
129, 13.2, 78.83, 3
130, 40.3, 78.83, 3
131, 31.99, 78.83, 3
132, 3.55, 78.83, 3
133, 50.85, 78.83, 3
134, 1.17, 78.83, 3
135, 1.56, 78.83, 3
136, 18.11, 78.83, 3
137, 0.8, 78.83, 3
138, 6.81, 78.83, 3
139, 2.02, 78.83, 3
140, 40.45, 78.83, 3
141, 24.34, 78.83, 3
142, 33.54, 78.83, 3
143, 60.52, 78.83, 3
144, 19.43, 78.83, 3
145, 20.28, 78.83, 3
146, 30.19, 78.83, 3
147, 21.83, 78.83, 3
148, 69.81, 78.83, 3
149, 23.51, 78.83, 3
150, 17.18, 78.83, 3
151, 20.33, 78.83, 3
152, 27.9, 78.83, 3
153, -1.69, 78.83, 3
154, 11.49, 78.83, 3
155, 34.2, 78.83, 3
156, 1.04, 78.83, 3
157, 72.35, 78.83, 3
158, 1.65, 78.83, 3
159, 73.84, 78.83, 3
160, 1.84, 78.83, 3
161, 0.94, 78.83, 3
162, 37.63, 78.83, 3
163, 62.39, 78.83, 3
164, 29.97, 78.83, 3
165, 8.04, 78.83, 3
166, 43.63, 78.83, 3
167, 23.05, 78.83, 3
168, 24.52, 78.83, 3
169, 5.14, 78.83, 3
170, 26.5, 78.83, 3
171, 0.5, 78.83, 3
172, 51.38, 78.83, 3
173, 8.46, 78.83, 3
174, 38.4, 78.83, 3
175, 34.54, 78.83, 3
176, 66.03, 78.83, 3
177, 7.31, 78.83, 3
178, 12.26, 78.83, 3
179, 18.85, 78.83, 3
180, 9.62, 78.83, 3
181, 10.44, 78.83, 3
182, 88.85, 88.85, 182
183, 8.96, 88.85, 182
184, 18.81, 88.85, 182
185, 5.37, 88.85, 182
186, 40.01, 88.85, 182
187, 19.21, 88.85, 182
188, 4.68, 88.85, 182
189, 3.14, 88.85, 182
190, 12.97, 88.85, 182
191, 46.19, 88.85, 182
192, 40.5, 88.85, 182
193, 40.24, 88.85, 182
194, 12.88, 88.85, 182
195, 3.78, 88.85, 182
196, 63.01, 88.85, 182
197, 6.81, 88.85, 182
198, 6.63, 88.85, 182
199, 31.65, 88.85, 182
200, 22.65, 88.85, 182
201, 38.24, 88.85, 182
202, 47.23, 88.85, 182
203, 16.64, 88.85, 182
204, 19.45, 88.85, 182
205, 10.57, 88.85, 182
206, 13.99, 88.85, 182
207, 18.2, 88.85, 182
208, 12.22, 88.85, 182
209, 17.37, 88.85, 182
210, 14.55, 88.85, 182
211, 12.93, 88.85, 182
212, 25.54, 88.85, 182
213, 20.33, 88.85, 182
214, 50.72, 88.85, 182
215, 13.43, 88.85, 182
216, 24.15, 88.85, 182
217, 31.17, 88.85, 182
218, 22.83, 88.85, 182
219, 1.86, 88.85, 182
220, 20.64, 88.85, 182
221, 43.1, 88.85, 182
222, 0.78, 88.85, 182
223, 4.73, 88.85, 182
224, 32.27, 88.85, 182
225, 3.96, 88.85, 182
226, 0.56, 88.85, 182
227, 44.91, 88.85, 182
228, 67.58, 88.85, 182
229, 0.25, 88.85, 182
230, 5.77, 88.85, 182
231, 20.46, 88.85, 182
232, 14.68, 88.85, 182
233, 16.65, 88.85, 182
234, 0.87, 88.85, 182
235, 58.8, 88.85, 182
236, 11.16, 88.85, 182
237, 7.94, 88.85, 182
238, 5.86, 88.85, 182
239, 3.46, 88.85, 182
240, 52.14, 88.85, 182
241, 8.29, 88.85, 182
242, 15.31, 88.85, 182
243, 4.13, 88.85, 182
244, 20.77, 88.85, 182
245, 34.44, 88.85, 182
246, 19.73, 88.85, 182
247, 27.09, 88.85, 182
248, 13.15, 88.85, 182
249, 9.48, 88.85, 182
250, 6.36, 88.85, 182
251, -2.02, 88.85, 182
252, 43.38, 88.85, 182
253, -2.52, 88.85, 182
254, 16.47, 88.85, 182
255, 9.87, 88.85, 182
256, 12.31, 88.85, 182
257, 12.23, 88.85, 182
258, 12.59, 88.85, 182
259, 57.08, 88.85, 182
260, 62.53, 88.85, 182
261, 30.92, 88.85, 182
262, 2.52, 88.85, 182
263, 18.08, 88.85, 182
264, 16.19, 88.85, 182
265, 22.65, 88.85, 182
266, 39.29, 88.85, 182
267, 17.23, 88.85, 182
268, 60.47, 88.85, 182
269, 18.74, 88.85, 182
270, 11.76, 88.85, 182
271, 67.48, 88.85, 182
272, 33.54, 88.85, 182
273, 2.15, 88.85, 182
274, 5.97, 88.85, 182
275, 9.01, 88.85, 182
276, 32.12, 88.85, 182
277, 11.08, 88.85, 182
