Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, 17.03, 17.03, 0
1, 28.63, 28.63, 1
2, 14.57, 28.63, 1
3, 43.72, 43.72, 3
4, 81.27, 81.27, 4
5, 1.47, 81.27, 4
6, 35.9, 81.27, 4
7, 19.02, 81.27, 4
8, 11.26, 81.27, 4
9, 77.39, 81.27, 4
10, 0.14, 81.27, 4
11, 33.23, 81.27, 4
12, 3.24, 81.27, 4
13, 0.71, 81.27, 4
14, 17.4, 81.27, 4
15, 13.23, 81.27, 4
16, 8.04, 81.27, 4
17, 0.04, 81.27, 4
18, 14.69, 81.27, 4
19, 2.81, 81.27, 4
20, 9.76, 81.27, 4
21, 3.65, 81.27, 4
22, 1.4, 81.27, 4
23, 30.39, 81.27, 4
24, 32.61, 81.27, 4
25, 18.41, 81.27, 4
26, 12.33, 81.27, 4
27, 2.92, 81.27, 4
28, 17.3, 81.27, 4
29, 39.47, 81.27, 4
30, 12.79, 81.27, 4
31, 5.17, 81.27, 4
32, 43.22, 81.27, 4
33, 69.7, 81.27, 4
34, 19.66, 81.27, 4
35, 1.32, 81.27, 4
36, 62.43, 81.27, 4
37, 0.39, 81.27, 4
38, 28.32, 81.27, 4
39, 39.45, 81.27, 4
40, 1.37, 81.27, 4
41, 46.86, 81.27, 4
42, 30.15, 81.27, 4
43, 6.92, 81.27, 4
44, 42.87, 81.27, 4
45, 33.85, 81.27, 4
46, 13.53, 81.27, 4
47, 11.33, 81.27, 4
48, 8.85, 81.27, 4
49, 15.14, 81.27, 4
50, 20.38, 81.27, 4
51, 3.96, 81.27, 4
52, 6.31, 81.27, 4
53, 28.43, 81.27, 4
54, 5.66, 81.27, 4
55, 37.67, 81.27, 4
56, 16.85, 81.27, 4
57, 31.01, 81.27, 4
58, 38.52, 81.27, 4
59, 47.82, 81.27, 4
60, 24.68, 81.27, 4
61, 14.29, 81.27, 4
62, 33, 81.27, 4
63, 20.01, 81.27, 4
64, 33.59, 81.27, 4
65, 23.63, 81.27, 4
66, 19.83, 81.27, 4
67, 17.51, 81.27, 4
68, 1.26, 81.27, 4
69, 4.72, 81.27, 4
70, 6.61, 81.27, 4
71, 0.23, 81.27, 4
72, 0.55, 81.27, 4
73, 4.83, 81.27, 4
74, -2.7, 81.27, 4
75, 64.49, 81.27, 4
76, 36.18, 81.27, 4
77, 57.88, 81.27, 4
78, 10.67, 81.27, 4
79, 37.17, 81.27, 4
80, 19.01, 81.27, 4
81, 60.77, 81.27, 4
82, 58.21, 81.27, 4
83, 0, 81.27, 4
84, 3.21, 81.27, 4
85, 10.4, 81.27, 4
86, 15.8, 81.27, 4
87, 50.23, 81.27, 4
88, 27.15, 81.27, 4
89, 20.18, 81.27, 4
90, 20.41, 81.27, 4
91, 17.38, 81.27, 4
92, 56.06, 81.27, 4
93, 0.02, 81.27, 4
94, 25.67, 81.27, 4
95, 1.8, 81.27, 4
96, 2.58, 81.27, 4
97, 38.39, 81.27, 4
98, 27.83, 81.27, 4
99, 27.21, 81.27, 4
100, -0.58, 81.27, 4
101, -0.2, 81.27, 4
102, 9.65, 81.27, 4
103, 29, 81.27, 4
104, 10.13, 81.27, 4
105, 29.16, 81.27, 4
106, 36.98, 81.27, 4
107, 12.77, 81.27, 4
108, 1.29, 81.27, 4
109, 75.27, 81.27, 4
110, 80.21, 81.27, 4
111, 34.46, 81.27, 4
112, -1.87, 81.27, 4
113, 19.58, 81.27, 4
114, -4.27, 81.27, 4
115, 0.04, 81.27, 4
116, -0.01, 81.27, 4
117, 18.84, 81.27, 4
118, 8.37, 81.27, 4
119, 1.17, 81.27, 4
120, 4.84, 81.27, 4
121, 61.76, 81.27, 4
122, 41.73, 81.27, 4
123, 78.67, 81.27, 4
124, 10.83, 81.27, 4
125, 34.65, 81.27, 4
126, 36.23, 81.27, 4
127, 1.86, 81.27, 4
128, 8.79, 81.27, 4
129, 38.64, 81.27, 4
130, 10.35, 81.27, 4
131, 24.42, 81.27, 4
132, 34.74, 81.27, 4
133, 33.69, 81.27, 4
134, 0.84, 81.27, 4
135, 67.09, 81.27, 4
136, 40.2, 81.27, 4
137, 30.84, 81.27, 4
138, 3.87, 81.27, 4
139, 49.85, 81.27, 4
140, 4, 81.27, 4
141, 51.73, 81.27, 4
142, 11.11, 81.27, 4
143, 8.74, 81.27, 4
144, 20.81, 81.27, 4
145, 11.06, 81.27, 4
146, 6.58, 81.27, 4
147, 3.51, 81.27, 4
148, 9.15, 81.27, 4
149, -0.08, 81.27, 4
150, 28.16, 81.27, 4
151, 5.58, 81.27, 4
152, 35.07, 81.27, 4
153, 4.94, 81.27, 4
154, 26.34, 81.27, 4
155, 5.29, 81.27, 4
156, 4.23, 81.27, 4
157, 53.81, 81.27, 4
158, 5.53, 81.27, 4
159, 24.19, 81.27, 4
160, 34.71, 81.27, 4
161, -0.02, 81.27, 4
162, 30.19, 81.27, 4
163, 9.24, 81.27, 4
164, 11.2, 81.27, 4
165, 25.15, 81.27, 4
166, 29.33, 81.27, 4
167, 23.04, 81.27, 4
168, 21.76, 81.27, 4
169, 3.8, 81.27, 4
170, 24.93, 81.27, 4
171, 62.82, 81.27, 4
172, 28.63, 81.27, 4
173, 12.05, 81.27, 4
174, 14.45, 81.27, 4
175, 0.49, 81.27, 4
176, 42.3, 81.27, 4
177, 20.94, 81.27, 4
178, 0.94, 81.27, 4
179, 43.03, 81.27, 4
180, 33.19, 81.27, 4
181, 17.51, 81.27, 4
182, 7.48, 81.27, 4
183, 25.97, 81.27, 4
184, 22.46, 81.27, 4
185, 17.01, 81.27, 4
186, 6.19, 81.27, 4
187, 3.62, 81.27, 4
188, 10.45, 81.27, 4
189, 15.18, 81.27, 4
190, 13.64, 81.27, 4
191, 26.88, 81.27, 4
192, 4.51, 81.27, 4
193, 72.99, 81.27, 4
194, 0.33, 81.27, 4
195, 1.27, 81.27, 4
196, 4.83, 81.27, 4
197, -0.91, 81.27, 4
198, 0.56, 81.27, 4
199, 2.22, 81.27, 4
200, 7.18, 81.27, 4
201, 2.04, 81.27, 4
202, 55.38, 81.27, 4
203, 8.05, 81.27, 4
204, 31, 81.27, 4
205, 6.37, 81.27, 4
206, 65.28, 81.27, 4
207, 25, 81.27, 4
208, 47.26, 81.27, 4
209, 2.61, 81.27, 4
210, 25.82, 81.27, 4
211, 29, 81.27, 4
212, 3.78, 81.27, 4
213, 15.67, 81.27, 4
214, 17.03, 81.27, 4
215, 91.63, 91.63, 215
216, 11.62, 91.63, 215
217, 18.03, 91.63, 215
218, 59.49, 91.63, 215
219, 15.55, 91.63, 215
220, 68.8, 91.63, 215
221, -2.68, 91.63, 215
222, 0.11, 91.63, 215
223, 12.07, 91.63, 215
224, 27.05, 91.63, 215
225, 28.32, 91.63, 215
226, 43.5, 91.63, 215
227, 33.9, 91.63, 215
228, 62.49, 91.63, 215
229, 55.54, 91.63, 215
230, 30.5, 91.63, 215
231, 24.38, 91.63, 215
232, 35.46, 91.63, 215
233, 24.2, 91.63, 215
234, 20.16, 91.63, 215
235, 0.48, 91.63, 215
236, 9.37, 91.63, 215
237, 42.64, 91.63, 215
238, 49.36, 91.63, 215
239, 8.45, 91.63, 215
240, 60.23, 91.63, 215
241, 23.38, 91.63, 215
242, 36.51, 91.63, 215
243, 27.02, 91.63, 215
244, 47.32, 91.63, 215
245, 54.12, 91.63, 215
246, 1.97, 91.63, 215
247, 5.9, 91.63, 215
248, 5.06, 91.63, 215
249, 4.02, 91.63, 215
250, 45.35, 91.63, 215
251, 68.92, 91.63, 215
252, 11.25, 91.63, 215
253, 20.26, 91.63, 215
254, 22.72, 91.63, 215
255, 0.43, 91.63, 215
256, 24.37, 91.63, 215
257, 1.69, 91.63, 215
258, 47.26, 91.63, 215
259, 49.6, 91.63, 215
260, 36.15, 91.63, 215
261, 55.37, 91.63, 215
262, 53.66, 91.63, 215
263, 52.89, 91.63, 215
264, 30.91, 91.63, 215
265, 47.25, 91.63, 215
266, 11.17, 91.63, 215
267, 49.64, 91.63, 215
268, 3.9, 91.63, 215
269, 6.46, 91.63, 215
270, 10.28, 91.63, 215
271, 18.42, 91.63, 215
