Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, 65.83, 65.83, 0
1, 78.19, 78.19, 1
2, 69.97, 78.19, 1
3, 52.46, 78.19, 1
4, 9.66, 78.19, 1
5, 31.76, 78.19, 1
6, 3.74, 78.19, 1
7, 2.19, 78.19, 1
8, 13.65, 78.19, 1
9, 35.28, 78.19, 1
10, 8.07, 78.19, 1
11, 34.66, 78.19, 1
12, 33.68, 78.19, 1
13, 11.18, 78.19, 1
14, 57.35, 78.19, 1
15, 1.49, 78.19, 1
16, 44.6, 78.19, 1
17, 0.91, 78.19, 1
18, 2.09, 78.19, 1
19, 74.08, 78.19, 1
20, 32.98, 78.19, 1
21, 0, 78.19, 1
22, 20.11, 78.19, 1
23, 4.59, 78.19, 1
24, 6.01, 78.19, 1
25, 8.64, 78.19, 1
26, 5.59, 78.19, 1
27, 16.18, 78.19, 1
28, 1.95, 78.19, 1
29, 11.01, 78.19, 1
30, 4.97, 78.19, 1
31, 33.24, 78.19, 1
32, 12.66, 78.19, 1
33, 31.26, 78.19, 1
34, 7.43, 78.19, 1
35, 0.36, 78.19, 1
36, 46.74, 78.19, 1
37, 0.49, 78.19, 1
38, 41.27, 78.19, 1
39, 23.8, 78.19, 1
40, 13.1, 78.19, 1
41, 23.79, 78.19, 1
42, 4.84, 78.19, 1
43, 33, 78.19, 1
44, 26.3, 78.19, 1
45, 76.44, 78.19, 1
46, 41.65, 78.19, 1
47, 8.34, 78.19, 1
48, 8.75, 78.19, 1
49, 71.58, 78.19, 1
50, 33.94, 78.19, 1
51, 23.46, 78.19, 1
52, 1.88, 78.19, 1
53, 25.81, 78.19, 1
54, -1.31, 78.19, 1
55, 0.17, 78.19, 1
56, 0, 78.19, 1
57, 23.32, 78.19, 1
58, 12.97, 78.19, 1
59, -0.07, 78.19, 1
60, 22.4, 78.19, 1
61, 0.08, 78.19, 1
62, 2.37, 78.19, 1
63, 6.72, 78.19, 1
64, 28.14, 78.19, 1
65, 8.78, 78.19, 1
66, 72.42, 78.19, 1
67, 57.73, 78.19, 1
68, 5.44, 78.19, 1
69, 6.27, 78.19, 1
70, 11.19, 78.19, 1
71, 2.73, 78.19, 1
72, 44.79, 78.19, 1
73, 16.49, 78.19, 1
74, 58.36, 78.19, 1
75, 44.98, 78.19, 1
76, 2.68, 78.19, 1
77, -0.72, 78.19, 1
78, 41.67, 78.19, 1
79, 2.99, 78.19, 1
80, 21.42, 78.19, 1
81, 3.24, 78.19, 1
82, -0.98, 78.19, 1
83, 23.96, 78.19, 1
84, 1.3, 78.19, 1
85, 39.18, 78.19, 1
86, 62.39, 78.19, 1
87, 26.91, 78.19, 1
88, 3.85, 78.19, 1
89, 8.84, 78.19, 1
90, 53.13, 78.19, 1
91, 22.79, 78.19, 1
92, 59.9, 78.19, 1
93, 8.67, 78.19, 1
94, 27.17, 78.19, 1
95, 11.06, 78.19, 1
96, 3.4, 78.19, 1
97, 9.35, 78.19, 1
98, 20.47, 78.19, 1
99, -0.13, 78.19, 1
100, 8.72, 78.19, 1
101, 26.12, 78.19, 1
102, 39.86, 78.19, 1
103, 14.87, 78.19, 1
104, 6.7, 78.19, 1
105, 20.04, 78.19, 1
106, 36.23, 78.19, 1
107, -0.84, 78.19, 1
108, 49.32, 78.19, 1
109, 8.41, 78.19, 1
110, 0.88, 78.19, 1
111, 4.13, 78.19, 1
112, 37.82, 78.19, 1
113, 6.13, 78.19, 1
114, 55.39, 78.19, 1
115, 43.11, 78.19, 1
116, -3.64, 78.19, 1
117, 13.43, 78.19, 1
118, 7.61, 78.19, 1
119, 20.67, 78.19, 1
120, 14.44, 78.19, 1
121, 43.29, 78.19, 1
122, 76.46, 78.19, 1
123, 32.62, 78.19, 1
124, 0.93, 78.19, 1
125, 15.26, 78.19, 1
126, 61.41, 78.19, 1
127, 18.75, 78.19, 1
128, 16.71, 78.19, 1
129, 35.15, 78.19, 1
130, 2.58, 78.19, 1
131, 16.76, 78.19, 1
132, 40.64, 78.19, 1
133, 28.09, 78.19, 1
134, 6.56, 78.19, 1
135, 5.84, 78.19, 1
136, 16.92, 78.19, 1
137, 1.96, 78.19, 1
138, 2.17, 78.19, 1
139, -2.8, 78.19, 1
140, 67.19, 78.19, 1
141, 38.56, 78.19, 1
142, 13.63, 78.19, 1
143, 18.53, 78.19, 1
144, -0.57, 78.19, 1
145, 6.06, 78.19, 1
146, -0.16, 78.19, 1
147, 11.46, 78.19, 1
148, 34.48, 78.19, 1
149, 87.58, 87.58, 149
150, 38.16, 87.58, 149
151, 38.38, 87.58, 149
152, 74.74, 87.58, 149
153, 11.22, 87.58, 149
154, 19.69, 87.58, 149
155, 4.59, 87.58, 149
156, 7.65, 87.58, 149
157, 14.13, 87.58, 149
158, 0, 87.58, 149
159, -4.01, 87.58, 149
160, 2.14, 87.58, 149
161, 3.66, 87.58, 149
162, 17.99, 87.58, 149
163, 14.64, 87.58, 149
164, 3.57, 87.58, 149
165, 17.79, 87.58, 149
166, 4.61, 87.58, 149
167, 3.34, 87.58, 149
168, 16.37, 87.58, 149
169, 26.79, 87.58, 149
170, 26.92, 87.58, 149
171, -0.01, 87.58, 149
172, -1.92, 87.58, 149
173, 75.4, 87.58, 149
174, 0.58, 87.58, 149
175, 24.78, 87.58, 149
176, 1.79, 87.58, 149
177, 26.52, 87.58, 149
178, -1.26, 87.58, 149
179, 17.03, 87.58, 149
180, 4.14, 87.58, 149
181, 10, 87.58, 149
182, 27.87, 87.58, 149
183, 1.68, 87.58, 149
184, 19.2, 87.58, 149
185, 0.64, 87.58, 149
186, 15.4, 87.58, 149
187, 25.18, 87.58, 149
188, 0.17, 87.58, 149
189, -0.38, 87.58, 149
190, 56.68, 87.58, 149
191, 20.5, 87.58, 149
192, 50.9, 87.58, 149
193, 42.4, 87.58, 149
194, 28.82, 87.58, 149
195, 11.53, 87.58, 149
196, 1.34, 87.58, 149
197, 20.62, 87.58, 149
198, 69.24, 87.58, 149
199, 17.89, 87.58, 149
200, 13.27, 87.58, 149
201, 35.89, 87.58, 149
202, 30.19, 87.58, 149
203, 1.27, 87.58, 149
204, 54.9, 87.58, 149
205, 9.91, 87.58, 149
206, 21.08, 87.58, 149
207, 10.96, 87.58, 149
208, 4.87, 87.58, 149
209, 27.05, 87.58, 149
210, 41.9, 87.58, 149
211, 0.6, 87.58, 149
212, -0.09, 87.58, 149
213, -0.74, 87.58, 149
214, 13.76, 87.58, 149
215, 12.63, 87.58, 149
216, 3.97, 87.58, 149
217, 12.33, 87.58, 149
218, 14.64, 87.58, 149
219, 11.12, 87.58, 149
220, 41.52, 87.58, 149
221, 41.59, 87.58, 149
222, 31.58, 87.58, 149
223, 17.14, 87.58, 149
224, 8.54, 87.58, 149
225, 25.94, 87.58, 149
226, 1.24, 87.58, 149
227, 31.85, 87.58, 149
228, 21.18, 87.58, 149
229, 21.78, 87.58, 149
230, 8.77, 87.58, 149
231, 0, 87.58, 149
232, 0.11, 87.58, 149
233, 9.02, 87.58, 149
234, 5.93, 87.58, 149
235, 0.53, 87.58, 149
236, 20.77, 87.58, 149
237, 15.81, 87.58, 149
238, 30.91, 87.58, 149
239, 10.66, 87.58, 149
240, 41.86, 87.58, 149
241, 1.62, 87.58, 149
242, 0.58, 87.58, 149
243, 3.75, 87.58, 149
244, 16.54, 87.58, 149
245, 12.59, 87.58, 149
246, 58.33, 87.58, 149
247, 26.96, 87.58, 149
248, 83.15, 87.58, 149
249, 6.9, 87.58, 149
250, 59.11, 87.58, 149
251, 3.17, 87.58, 149
252, 44.99, 87.58, 149
253, 5.43, 87.58, 149
254, 1.54, 87.58, 149
255, 19.33, 87.58, 149
256, 0.98, 87.58, 149
257, -0.29, 87.58, 149
258, 7.72, 87.58, 149
259, 58.45, 87.58, 149
260, 4.82, 87.58, 149
261, 14.32, 87.58, 149
262, 2.93, 87.58, 149
263, 1.23, 87.58, 149
264, 16.75, 87.58, 149
265, 12.23, 87.58, 149
266, 8.81, 87.58, 149
267, 31.26, 87.58, 149
268, 39.62, 87.58, 149
269, 10.07, 87.58, 149
270, 48.12, 87.58, 149
271, 6.25, 87.58, 149
272, 6.94, 87.58, 149
273, -0.26, 87.58, 149
274, 21.78, 87.58, 149
275, 2.2, 87.58, 149
276, -2.35, 87.58, 149
277, 38.95, 87.58, 149
278, 32.72, 87.58, 149
279, 75.29, 87.58, 149
280, 15.05, 87.58, 149
281, 34.6, 87.58, 149
282, 68.93, 87.58, 149
283, 23.36, 87.58, 149
284, 20.86, 87.58, 149
285, 0.21, 87.58, 149
286, 14.31, 87.58, 149
287, 62.29, 87.58, 149
288, 3.21, 87.58, 149
289, 2.97, 87.58, 149
290, -0.95, 87.58, 149
291, 28.94, 87.58, 149
292, 43.79, 87.58, 149
293, 24.37, 87.58, 149
294, 66.07, 87.58, 149
295, 0, 87.58, 149
296, 31.11, 87.58, 149
297, 2.55, 87.58, 149
298, 39.95, 87.58, 149
299, 3.26, 87.58, 149
300, 34.99, 87.58, 149
301, 34.54, 87.58, 149
302, 16.32, 87.58, 149
303, 49.8, 87.58, 149
304, 3.85, 87.58, 149
305, 11.77, 87.58, 149
306, 20.71, 87.58, 149
307, 50.68, 87.58, 149
308, 14.46, 87.58, 149
309, 92.31, 92.31, 309
310, 13.05, 92.31, 309
311, 58.07, 92.31, 309
312, 0.98, 92.31, 309
313, 54.69, 92.31, 309
314, 10.34, 92.31, 309
315, 53.63, 92.31, 309
316, 4.76, 92.31, 309
317, 15.97, 92.31, 309
318, 60.81, 92.31, 309
319, 50.74, 92.31, 309
320, 6.7, 92.31, 309
321, 41.41, 92.31, 309
322, 37.22, 92.31, 309
323, 62.04, 92.31, 309
324, 30.69, 92.31, 309
325, 13.04, 92.31, 309
326, 4.94, 92.31, 309
327, 26.41, 92.31, 309
328, 9.51, 92.31, 309
329, 2.33, 92.31, 309
330, 6.58, 92.31, 309
331, 1.88, 92.31, 309
332, 14.05, 92.31, 309
333, 14.1, 92.31, 309
334, 9.42, 92.31, 309
335, -1.39, 92.31, 309
336, 0.26, 92.31, 309
337, 17.86, 92.31, 309
338, 3.75, 92.31, 309
339, 5.5, 92.31, 309
340, 19.48, 92.31, 309
341, 19.31, 92.31, 309
342, 48.82, 92.31, 309
343, 22.87, 92.31, 309
344, 14.54, 92.31, 309
345, 46.2, 92.31, 309
346, 35.99, 92.31, 309
347, 13.55, 92.31, 309
348, 28.33, 92.31, 309
349, 0, 92.31, 309
350, 3.7, 92.31, 309
351, 17.16, 92.31, 309
352, 29.08, 92.31, 309
353, 1.06, 92.31, 309
354, 3.02, 92.31, 309
355, 22.11, 92.31, 309
356, -2.03, 92.31, 309
357, 38.6, 92.31, 309
358, 37.31, 92.31, 309
359, 9.94, 92.31, 309
360, 7.85, 92.31, 309
361, 20.3, 92.31, 309
362, 11.36, 92.31, 309
363, 25.92, 92.31, 309
364, 33.39, 92.31, 309
365, 47.21, 92.31, 309
366, 9.38, 92.31, 309
367, 3.09, 92.31, 309
368, 13.1, 92.31, 309
369, 2.11, 92.31, 309
370, 1.88, 92.31, 309
371, 12.16, 92.31, 309
372, -0.82, 92.31, 309
373, 8.94, 92.31, 309
374, 9.21, 92.31, 309
375, 49.11, 92.31, 309
376, 25.79, 92.31, 309
377, 5.06, 92.31, 309
378, 37.77, 92.31, 309
379, 0.37, 92.31, 309
380, 3.14, 92.31, 309
381, 38.09, 92.31, 309
382, 29.49, 92.31, 309
383, 64.7, 92.31, 309
384, 22.08, 92.31, 309
385, 14.35, 92.31, 309
386, 54.83, 92.31, 309
387, 2.62, 92.31, 309
388, 3.14, 92.31, 309
389, 79.71, 92.31, 309
390, 27.79, 92.31, 309
391, 37.37, 92.31, 309
392, 80.81, 92.31, 309
393, 28.21, 92.31, 309
394, 3.69, 92.31, 309
395, 23.82, 92.31, 309
396, 6.71, 92.31, 309
397, 6.76, 92.31, 309
398, 2.82, 92.31, 309
399, 19.36, 92.31, 309
400, 36.1, 92.31, 309
401, 74.17, 92.31, 309
402, 5.84, 92.31, 309
403, 4.36, 92.31, 309
404, 21.82, 92.31, 309
405, 36.33, 92.31, 309
406, 10.75, 92.31, 309
407, 4.42, 92.31, 309
408, 11.9, 92.31, 309
409, 34.45, 92.31, 309
410, 28.63, 92.31, 309
411, 10.88, 92.31, 309
412, 11.02, 92.31, 309
413, 40.25, 92.31, 309
414, 12.05, 92.31, 309
415, 39.41, 92.31, 309
416, 18.48, 92.31, 309
417, 6.52, 92.31, 309
