Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, 16.93, 16.93, 0
1, 0.57, 16.93, 0
2, 53.2, 53.2, 2
3, 59.54, 59.54, 3
4, 22.44, 59.54, 3
5, 22.47, 59.54, 3
6, 12.68, 59.54, 3
7, 2.21, 59.54, 3
8, 37.31, 59.54, 3
9, 2.46, 59.54, 3
10, 57.38, 59.54, 3
11, -2.29, 59.54, 3
12, 4.32, 59.54, 3
13, 17.26, 59.54, 3
14, 5.16, 59.54, 3
15, 0.95, 59.54, 3
16, 15.7, 59.54, 3
17, 43.39, 59.54, 3
18, 19.43, 59.54, 3
19, -1.79, 59.54, 3
20, 67.03, 67.03, 20
21, 4.96, 67.03, 20
22, 6.18, 67.03, 20
23, 11.98, 67.03, 20
24, 26.58, 67.03, 20
25, 3.05, 67.03, 20
26, 10.26, 67.03, 20
27, 0.61, 67.03, 20
28, 18.49, 67.03, 20
29, 23.67, 67.03, 20
30, 11.88, 67.03, 20
31, 14.92, 67.03, 20
32, 3.18, 67.03, 20
33, 15.22, 67.03, 20
34, 31.08, 67.03, 20
35, 60.73, 67.03, 20
36, 25.43, 67.03, 20
37, 3.89, 67.03, 20
38, 24, 67.03, 20
39, 45.42, 67.03, 20
40, 11.13, 67.03, 20
41, 5.46, 67.03, 20
42, 2.24, 67.03, 20
43, 2.5, 67.03, 20
44, 2.72, 67.03, 20
45, 81.05, 81.05, 45
46, 67.94, 81.05, 45
47, 7.3, 81.05, 45
48, 0, 81.05, 45
49, 12.36, 81.05, 45
50, 28.6, 81.05, 45
51, 47.58, 81.05, 45
52, 26.72, 81.05, 45
53, 50.51, 81.05, 45
54, 93.43, 93.43, 54
55, 12.48, 93.43, 54
56, 2.65, 93.43, 54
57, 13.47, 93.43, 54
58, 9.57, 93.43, 54
59, 17.42, 93.43, 54
60, 33.46, 93.43, 54
61, 2.17, 93.43, 54
62, 64.19, 93.43, 54
63, 63.87, 93.43, 54
64, 1.64, 93.43, 54
65, 20.67, 93.43, 54
66, 0.52, 93.43, 54
67, 3.6, 93.43, 54
68, 16.46, 93.43, 54
69, 54.39, 93.43, 54
70, 61.62, 93.43, 54
71, 0.44, 93.43, 54
72, 0, 93.43, 54
73, 21.12, 93.43, 54
74, 11.6, 93.43, 54
75, 23.28, 93.43, 54
76, 13.63, 93.43, 54
77, 7.07, 93.43, 54
78, 11.15, 93.43, 54
79, 87.84, 93.43, 54
80, 44.63, 93.43, 54
81, 30.94, 93.43, 54
82, 20.4, 93.43, 54
83, 22.09, 93.43, 54
84, 24.53, 93.43, 54
85, 56.67, 93.43, 54
86, 55.75, 93.43, 54
87, 1.21, 93.43, 54
88, 36.49, 93.43, 54
89, 11.62, 93.43, 54
90, 45.23, 93.43, 54
91, 24.76, 93.43, 54
92, 7.8, 93.43, 54
93, 49.85, 93.43, 54
94, 0.91, 93.43, 54
95, 5.3, 93.43, 54
96, 30.72, 93.43, 54
97, 0, 93.43, 54
98, 3.65, 93.43, 54
99, 13.26, 93.43, 54
100, 17.76, 93.43, 54
101, 3.03, 93.43, 54
102, 5.7, 93.43, 54
103, 3.26, 93.43, 54
104, 21.63, 93.43, 54
105, 23.29, 93.43, 54
106, 2.37, 93.43, 54
107, 24.57, 93.43, 54
108, 22.56, 93.43, 54
109, 3.52, 93.43, 54
110, 18.08, 93.43, 54
111, 24.29, 93.43, 54
112, 23.15, 93.43, 54
113, 5.57, 93.43, 54
114, 23.13, 93.43, 54
115, 17.86, 93.43, 54
116, 0.1, 93.43, 54
117, 30.21, 93.43, 54
118, 59.79, 93.43, 54
119, 21.93, 93.43, 54
120, 29.07, 93.43, 54
121, 12.19, 93.43, 54
122, 12.51, 93.43, 54
123, 23.56, 93.43, 54
124, 17.19, 93.43, 54
125, 22.75, 93.43, 54
126, 57.65, 93.43, 54
127, 24.51, 93.43, 54
128, 14.98, 93.43, 54
129, 18.24, 93.43, 54
130, 10.28, 93.43, 54
131, 55.09, 93.43, 54
132, 31, 93.43, 54
133, 3.69, 93.43, 54
134, 43.55, 93.43, 54
135, 38.24, 93.43, 54
136, 23.43, 93.43, 54
137, 35.4, 93.43, 54
138, 49.58, 93.43, 54
139, 39.88, 93.43, 54
140, 4.07, 93.43, 54
141, 65.13, 93.43, 54
142, 31.82, 93.43, 54
143, 14.31, 93.43, 54
144, 1.47, 93.43, 54
145, 49.14, 93.43, 54
146, 22.66, 93.43, 54
147, 8.35, 93.43, 54
148, 31.56, 93.43, 54
149, 60.9, 93.43, 54
150, 19.76, 93.43, 54
151, 34.67, 93.43, 54
152, 15.06, 93.43, 54
153, 27.49, 93.43, 54
154, 2.72, 93.43, 54
155, 46.56, 93.43, 54
