Candidate Index, Candidate Value, Current Best Candidate Value, Current Best Candidate Index
0, 7.11, 7.11, 0
1, 6.49, 7.11, 0
2, 47.38, 47.38, 2
3, 15.55, 47.38, 2
4, 1.36, 47.38, 2
5, 34.13, 47.38, 2
6, 4.45, 47.38, 2
7, 36.21, 47.38, 2
8, 2.37, 47.38, 2
9, 1.23, 47.38, 2
10, 33.9, 47.38, 2
11, 2.61, 47.38, 2
12, 4.9, 47.38, 2
13, 55.44, 55.44, 13
14, 12.52, 55.44, 13
15, 33.64, 55.44, 13
16, 17.26, 55.44, 13
17, 57.12, 57.12, 17
18, 22, 57.12, 17
19, -1.09, 57.12, 17
20, 0.84, 57.12, 17
21, 4.92, 57.12, 17
22, 20.61, 57.12, 17
23, 48.29, 57.12, 17
24, 0.21, 57.12, 17
25, 5.38, 57.12, 17
26, 0.67, 57.12, 17
27, 22.78, 57.12, 17
28, 35.78, 57.12, 17
29, 3.76, 57.12, 17
30, -0.62, 57.12, 17
31, 52.71, 57.12, 17
32, 34.4, 57.12, 17
33, 2.15, 57.12, 17
34, 42.73, 57.12, 17
35, 60.5, 60.5, 35
36, 47.15, 60.5, 35
37, 6.61, 60.5, 35
38, 62.02, 62.02, 38
39, 18.86, 62.02, 38
40, 13.65, 62.02, 38
41, 35.25, 62.02, 38
42, 49.91, 62.02, 38
43, 14.88, 62.02, 38
44, 42.18, 62.02, 38
45, 19.46, 62.02, 38
46, 29.83, 62.02, 38
47, 2.9, 62.02, 38
48, 9.14, 62.02, 38
49, 17.98, 62.02, 38
50, 5.3, 62.02, 38
51, 0.54, 62.02, 38
52, 11.98, 62.02, 38
53, 36.76, 62.02, 38
54, 68.5, 68.5, 54
55, 4.22, 68.5, 54
56, 1.81, 68.5, 54
57, 24.24, 68.5, 54
58, 0.58, 68.5, 54
59, 12.51, 68.5, 54
60, 74.53, 74.53, 60
61, 47.03, 74.53, 60
62, 58.48, 74.53, 60
63, 23, 74.53, 60
64, 3.7, 74.53, 60
65, 0, 74.53, 60
66, 0.08, 74.53, 60
67, 13.86, 74.53, 60
68, 4.01, 74.53, 60
69, 29.92, 74.53, 60
70, 23.62, 74.53, 60
71, 22.75, 74.53, 60
72, 6.4, 74.53, 60
73, -1.12, 74.53, 60
74, 31.43, 74.53, 60
75, 25.26, 74.53, 60
76, 4.56, 74.53, 60
77, 8.4, 74.53, 60
78, 28.36, 74.53, 60
79, 9.56, 74.53, 60
80, 27.31, 74.53, 60
81, 35.37, 74.53, 60
82, 53.07, 74.53, 60
83, 14.34, 74.53, 60
84, 4.32, 74.53, 60
85, 42.35, 74.53, 60
86, 20.37, 74.53, 60
87, 7.81, 74.53, 60
88, 10.76, 74.53, 60
89, 57.09, 74.53, 60
90, 8.57, 74.53, 60
91, 1.57, 74.53, 60
92, 8.7, 74.53, 60
93, 5.35, 74.53, 60
94, 25.47, 74.53, 60
95, 34.91, 74.53, 60
96, 17.25, 74.53, 60
97, 24.93, 74.53, 60
98, 6.98, 74.53, 60
99, 12.65, 74.53, 60
100, 20.77, 74.53, 60
101, 38.91, 74.53, 60
102, 22.55, 74.53, 60
103, 42.91, 74.53, 60
104, 5.92, 74.53, 60
105, 25.61, 74.53, 60
106, 27.37, 74.53, 60
107, 23.1, 74.53, 60
108, 45.05, 74.53, 60
109, 4.72, 74.53, 60
110, 14.77, 74.53, 60
111, 47.79, 74.53, 60
112, 2.78, 74.53, 60
113, 29.22, 74.53, 60
114, 67.12, 74.53, 60
115, 0.69, 74.53, 60
116, 27.4, 74.53, 60
117, 42.41, 74.53, 60
118, 14.7, 74.53, 60
119, 81.31, 81.31, 119
120, 5.13, 81.31, 119
121, 33.3, 81.31, 119
122, 14.11, 81.31, 119
123, 68.05, 81.31, 119
124, 14.04, 81.31, 119
125, 38.12, 81.31, 119
126, 11.23, 81.31, 119
127, 60.76, 81.31, 119
128, 17.81, 81.31, 119
129, 73.49, 81.31, 119
